Gebratene Hähnchenbrust (G) vom Grill mit Paprika Dip (1,2,9,La,Sf) und Fladenbrot (Gl,So,We,Ro,Ge,Haf)	364	3.3
Asiatische Reispfanne mit Gemüse, Pilzen und Sojakeimlingen (So)	282	1.3
Kartoffeln oder Broccoligemüse	72	1.9
Kartoffeln oder Reis oder Broccoligemüse	72	2.5
marinierte Hähnchenbruststreifen (Gl,So,G,We)	148	2.4
Spiralli (Gl,We) "prosciutto" mit ital. Landschinken und Tomatensugo (2,6,S) in Bechamel (La)	250	2.5
Champignonrahmsuppe (So)Asiatische Nudelsalatbowl mit buntem Gemüse, Teriyakisauce, Sesam und frischem Koriander (Gl,So,Se,We) getoppt mit mini Frikadelle (Gl,Ei,G,We) mit buntem Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Banane (La)	378	4.2
Gemüsesuppe (Gl,So,Sl,Ge)Geflügel-Nuggets (Gl,G,We) mit Knoblauchmayonnaise (Sf) mit Gemüsereis (Sl) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Vanille (La)	378	4.3
Jackfruit Bratwurst vom Grill mit Kartoffel-Gurken-Radieschen-Salat (2,So,Sf)	372	3.3
Currywurst vom Schwein (3,4,8,So,Se,S) oder Rindscurrywurst (2,3,4,So,Sl,R) mit Currysauce (1,2,9) und Pommes frites	344	5.0
Kichererbsen-Ananas-Spinat-Curry mit indischen Kartoffeln	253	2.7
Spiralli (Gl,We) verfeinert mit Paprika, Oliven und Hüttenkäse (3,La) und Tomatensauce (2)	258	1.5
Champignonrahmsuppe (So)Asiatische Nudelsalatbowl mit buntem Gemüse, Teriyakisauce, Sesam und frischem Koriander (Gl,So,Se,We) getoppt mit mini Frikadelle (Gl,Ei,G,We) mit buntem Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Banane (La)	378	1.9
Kartoffeln oder Reis oder Leipziger Allerlei	72	1.1
Kraut Dog- XXL Hot Dog mit knackigem Kraut und Röstzwiebeln (1,2,3,4,Gl,Ei,So,Sl,Sf,R,We)	346	2.7
Lauchcremesuppe (Gl,So,Sl,Ge)Gebratenes Seelachsfilet (Fi) an Möhren-Ingwer-Rahmgemüse (So)KartoffelnDessertFruchtjoghurt Waldfrucht-Heidelbeer (1,La)	378	3.0
Tagessalat oder Weißkrautsalat mit buntem Salat oder Mexikanischer SalatSalat von grünen Bohnen dazu ein gemischter Salat oder Joghurtdressing (La) zur Wahl mit French Dressing (Sf)	72	1.1
Tagessalat oder Weißkrautsalat mit buntem Salat oder Mexikanischer SalatSalat von grünen Bohnen dazu ein gemischter Salat oder Joghurtdressing (La) zur Wahl mit French Dressing (Sf)	72	2.1
Asiatische Nudelsalatbowl mit buntem Gemüse, Teriyakisauce, Sesam und frischem Koriander (Gl,So,Se,We) getoppt mit mini Frikadelle (Gl,Ei,G,We) mit buntem Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	378	2.3
Erbsen und Möhren	72	2.6
Falafelspieß (Gl,We) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	207	2.5
Kohlrabi-Kartoffeleintopf (So,Sl)	112	2.9
"Chakalaka", bunte  Gemüsepfanne (Gl,Sl,Ge) und Reis	268	2.6
Kartoffelkroketten (Gl,We) inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf)	105	1.0
Bulgur-Bowl mit hausgemachter Tomatensalsa (Gl,We) mit hausgemachter Tomatensalsa (6) nach Wahl mit mariniertem Fetakäse (La) oder marinierte Hähnchenstreifen (Gl,So,G,We)	269	3.5
Quinoaburger vom Grill im Brötchen mit Zwiebeln, Tomaten und Gurken (2,9,Gl,Se,We,Ro,Ge,Haf)	396	3.5
Vollkornreis oder Grüne Bohnen	72	1.7
Broccolirahmsuppe (So)6 gebackene Fischstäbchen (Gl,Fi,We) mit Kartoffel-Gurken-Radieschen-Salat (2,So,Sf) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Pfirsich (La)	378	3.5
Ungarisches Rindergulasch (5,Sw,R) mit Penne Rigate - Pastasorte (Gl,We)	399	4.4
Kartoffeln oder Reis oder Leipziger Allerlei	72	2.7
Fränkische Kartoffelsuppe (3,So,La,Sl)Sojafricassee (Sojawürfel mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,Ge) oder Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Erdbeer (La)	378	4.2
Bockwurst (2,3,8,S,R) Rindswurst (2,3,8,La,Sl,Sf,R)	117	3.3
Döner vom Hähnchenspieß mit frischem Salattopping (Gl,La,Sl,Sf,G,We,Ro,Ge) dazu Knoblauchsauce (La) oder Joghurtsauce (La)	350	2.4
"Chakalaka", bunte  Gemüsepfanne (Gl,Sl,Ge) und Reis	268	2.6
